Sr No,Payer,Dealer Name,Product,Invoice No,Invoice Date,Invoice Amount,Discounting Date,RM/ASE/ASM,Region,Rec, Gross Collection , Balance O/s ,Collection Date,Due Date,Usance till Collection Days,Discounting Tenure,Rate,Disc Chrges for Discouting Tenure,Early Collection Days,Collection Incentive on Amount Received,Net Amount Received
11,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125226,31 Dec 16," 5,52,394 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,52,394 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"19,522.95", (61)," (9,924.17)"," 5,62,317.80 "
12,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125227,31 Dec 16," 5,52,394 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,52,394 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"19,522.95", (61)," (9,924.17)"," 5,62,317.80 "
13,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125228,31 Dec 16," 5,52,394 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,52,394 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"19,522.95", (61)," (9,924.17)"," 5,62,317.80 "
14,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125229,31 Dec 16," 5,52,394 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,52,394 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"19,522.95", (61)," (9,924.17)"," 5,62,317.80 "
15,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125230,31 Dec 16," 4,94,018 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,94,018 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"17,459.82", (61)," (8,875.41)"," 5,02,893.46 "
16,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125231,31 Dec 16," 4,94,018 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,94,018 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"17,459.82", (61)," (8,875.41)"," 5,02,893.46 "
17,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125232,31 Dec 16," 4,94,018 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,94,018 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"17,459.82", (61)," (8,875.41)"," 5,02,893.46 "
18,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125233,31 Dec 16," 4,94,018 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,94,018 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"17,459.82", (61)," (8,875.41)"," 5,02,893.46 "
19,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125234,31 Dec 16," 4,90,953 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,90,953 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"17,351.49", (61)," (8,820.34)"," 4,99,773.35 "
20,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125235,31 Dec 16," 4,90,953 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,90,953 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"17,351.49", (61)," (8,820.34)"," 4,99,773.35 "
21,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125236,31 Dec 16," 4,90,953 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,90,953 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"17,351.49", (61)," (8,820.34)"," 4,99,773.35 "
22,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125237,31 Dec 16," 4,90,953 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,90,953 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"17,351.49", (61)," (8,820.34)"," 4,99,773.35 "
23,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125238,31 Dec 16," 5,52,394 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,52,394 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"19,522.95", (61)," (9,924.17)"," 5,62,317.80 "
24,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125248,27 Jan 17," 4,96,616 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,96,616 ", -   ,20-Sep-17,21-Jul-17, 181 , 120 ,10.75%,"17,551.62", (61)," (8,922.07)"," 5,05,537.70 "
25,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125249,27 Jan 17," 4,96,616 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,96,616 ", -   ,12-Oct-17,21-Jul-17, 203 , 120 ,10.75%,"17,551.62", (83)," (12,139.87)"," 5,08,755.50 "
26,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125250,27 Jan 17," 4,96,616 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,96,616 ", -   ,12-Oct-17,21-Jul-17, 203 , 120 ,10.75%,"17,551.62", (83)," (12,139.87)"," 5,08,755.50 "
27,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125251,27 Jan 17," 5,58,054 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,58,054 ", -   ,9-Oct-17,21-Jul-17, 200 , 120 ,10.75%,"19,723.00", (80)," (13,148.67)"," 5,71,202.64 "
28,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125252,28 Jan 17," 5,58,054 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,58,054 ", -   ,9-Oct-17,21-Jul-17, 200 , 120 ,10.75%,"19,723.00", (80)," (13,148.67)"," 5,71,202.64 "
29,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125253,28 Jan 17," 5,58,054 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,58,054 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"19,723.00", (69)," (11,340.73)"," 5,69,394.70 "
30,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125254,28 Jan 17," 4,41,801 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,41,801 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"15,614.33", (69)," (8,978.24)"," 4,50,779.19 "
31,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125255,28 Jan 17," 4,41,801 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,41,801 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"15,614.33", (69)," (8,978.24)"," 4,50,779.19 "
32,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125256,28 Jan 17," 4,41,801 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,41,801 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"15,614.33", (69)," (8,978.24)"," 4,50,779.19 "
33,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125261,30 Jan 17," 4,96,616 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,96,616 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"17,551.62", (69)," (10,092.18)"," 5,06,707.81 "
34,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125262,30 Jan 17," 4,96,616 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,96,616 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"17,551.62", (69)," (10,092.18)"," 5,06,707.81 "
35,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125263,30 Jan 17," 4,96,616 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,96,616 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"17,551.62", (69)," (10,092.18)"," 5,06,707.81 "
36,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125264,30 Jan 17," 4,96,616 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,96,616 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"17,551.62", (69)," (10,092.18)"," 5,06,707.81 "
37,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125265,30 Jan 17," 4,96,616 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,96,616 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"17,551.62", (69)," (10,092.18)"," 5,06,707.81 "
38,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125266,31 Jan 17," 4,96,616 ",23-Mar-17,Rohit Verma,NORTH,Rec," 4,96,616 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"17,551.62", (69)," (10,092.18)"," 5,06,707.81 "
39,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125267,31 Jan 17," 5,80,983 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,80,983 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"20,533.38", (69)," (11,806.70)"," 5,92,790.07 "
40,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125268,31 Jan 17," 5,58,054 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,58,054 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"19,723.00", (69)," (11,340.73)"," 5,69,394.70 "
41,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125269,31 Jan 17," 5,58,054 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,58,054 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"19,723.00", (69)," (11,340.73)"," 5,69,394.70 "
42,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125285,21 Feb 17," 5,61,098 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,61,098 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"19,830.59", (69)," (11,402.59)"," 5,72,500.56 "
43,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125286,21 Feb 17," 5,61,098 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,61,098 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"19,830.59", (69)," (11,402.59)"," 5,72,500.56 "
44,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125287,21 Feb 17," 5,61,098 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,61,098 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"19,830.59", (69)," (11,402.59)"," 5,72,500.56 "
45,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125288,21 Feb 17," 5,61,098 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,61,098 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"19,830.59", (69)," (11,402.59)"," 5,72,500.56 "
46,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125289,21 Feb 17," 5,61,098 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,61,098 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"19,830.59", (69)," (11,402.59)"," 5,72,500.56 "
47,F1E9920,HI TECH SATLUJ MOTORS PVT  LTD,PVBU11,797125290,21 Feb 17," 5,13,031 ",23-Mar-17,Rohit Verma,NORTH,Rec," 5,13,031 ", -   ,28-Sep-17,21-Jul-17, 189 , 120 ,10.75%,"18,131.78", (69)," (10,425.77)"," 5,23,456.71 "
48,31E3410,STAR MOTORS & CARS INDIA PVT LTD,PVBU13,911716333,25 Mar 17," 4,87,440 ",31-Mar-17,Ankit Dhurka,South,Rec," 4,87,440 ", -   ,13-Sep-17,29-Jul-17, 166 , 120 ,10.75%,"17,227.32", (46)," (6,603.81)"," 4,94,043.48 "
49,31E3410,STAR MOTORS & CARS INDIA PVT LTD,PVBU13,911716336,25 Mar 17," 4,87,440 ",31-Mar-17,Ankit Dhurka,South,Rec," 4,87,440 ", -   ,13-Sep-17,29-Jul-17, 166 , 120 ,10.75%,"17,227.32", (46)," (6,603.81)"," 4,94,043.48 "
50,31E3410,STAR MOTORS & CARS INDIA PVT LTD,PVBU13,911716342,25 Mar 17," 5,33,286 ",31-Mar-17,Ankit Dhurka,South,Rec," 5,33,286 ", -   ,18-Sep-17,29-Jul-17, 171 , 120 ,10.75%,"18,847.64", (51)," (8,010.25)"," 5,41,296.06 "
51,31E3410,STAR MOTORS & CARS INDIA PVT LTD,PVBU13,911716343,25 Mar 17," 5,33,286 ",31-Mar-17,Ankit Dhurka,South,Rec," 5,33,286 ", -   ,18-Sep-17,29-Jul-17, 171 , 120 ,10.75%,"18,847.64", (51)," (8,010.25)"," 5,41,296.06 "
52,F1E1870,PRAGATI TRADING COMPANY LTD,PVBU13,797350218,7 Mar 17," 5,93,038 ",31-Mar-17,Ankushdeep Wadhwa,EAST,Rec," 5,93,038 ", -   ,19-May-17,29-Jul-17, 49 , 120 ,10.75%,"20,959.41", 71 ," 12,400.99 "," 5,80,636.68 "
53,F1E1870,PRAGATI TRADING COMPANY LTD,PVBU13,797350220,8 Mar 17," 5,93,038 ",31-Mar-17,Ankushdeep Wadhwa,EAST,Rec," 5,93,038 ", -   ,19-May-17,29-Jul-17, 49 , 120 ,10.75%,"20,959.41", 71 ," 12,400.99 "," 5,80,636.68 "
54,F1E4210,J K R MOTORS PVT LTD,PVBU13,797125455,28 Mar 17," 6,73,780 ",31-Mar-17,Rohit Verma,NORTH,Rec," 6,73,780 ", -   ,16-Jun-17,29-Jul-17, 77 , 120 ,10.75%,"23,813.04", 43 ," 8,533.00 "," 6,65,246.72 "
55,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125283,21 Feb 17," 5,57,947 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,57,947 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"19,719.21", (68)," (11,174.22)"," 5,69,120.81 "
56,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125284,21 Feb 17," 5,57,947 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,57,947 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"19,719.21", (68)," (11,174.22)"," 5,69,120.81 "
57,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125315,22 Feb 17," 4,44,124 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,44,124 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"15,696.42", (68)," (8,894.64)"," 4,53,018.24 "
58,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125316,23 Feb 17," 4,44,124 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,44,124 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"15,696.42", (68)," (8,894.64)"," 4,53,018.24 "
59,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125317,23 Feb 17," 4,44,124 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,44,124 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"15,696.42", (68)," (8,894.64)"," 4,53,018.24 "
60,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125318,23 Feb 17," 4,44,124 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,44,124 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"15,696.42", (68)," (8,894.64)"," 4,53,018.24 "
61,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125319,23 Feb 17," 4,44,124 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,44,124 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"15,696.42", (68)," (8,894.64)"," 4,53,018.24 "
62,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125354,28 Feb 17," 4,44,124 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,44,124 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"15,696.42", (68)," (8,894.64)"," 4,53,018.24 "
63,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125355,28 Feb 17," 4,44,124 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,44,124 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"15,696.42", (68)," (8,894.64)"," 4,53,018.24 "
64,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125356,28 Feb 17," 5,12,949 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,12,949 ", -   ,5-Oct-17,29-Jul-17, 188 , 120 ,10.75%,"18,128.89", (68)," (10,273.03)"," 5,23,222.11 "
65,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125357,28 Feb 17," 4,96,508 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,96,508 ", -   ,9-Oct-17,29-Jul-17, 192 , 120 ,10.75%,"17,547.83", (72)," (10,528.70)"," 5,07,036.95 "
66,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125358,28 Feb 17," 5,57,947 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,57,947 ", -   ,9-Oct-17,29-Jul-17, 192 , 120 ,10.75%,"19,719.21", (72)," (11,831.52)"," 5,69,778.11 "
67,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125359,28 Feb 17," 6,36,872 ",31-Mar-17,Rohit Verma,NORTH,Rec," 6,36,872 ", -   ,9-Oct-17,29-Jul-17, 192 , 120 ,10.75%,"22,508.62", (72)," (13,505.17)"," 6,50,376.95 "
68,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125360,28 Feb 17," 6,33,808 ",31-Mar-17,Rohit Verma,NORTH,Rec," 6,33,808 ", -   ,9-Oct-17,29-Jul-17, 192 , 120 ,10.75%,"22,400.33", (72)," (13,440.20)"," 6,47,248.10 "
69,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125361,28 Feb 17," 6,33,808 ",31-Mar-17,Rohit Verma,NORTH,Rec," 6,33,808 ", -   ,9-Oct-17,29-Jul-17, 192 , 120 ,10.75%,"22,400.33", (72)," (13,440.20)"," 6,47,248.10 "
70,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125362,28 Feb 17," 5,80,720 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,80,720 ", -   ,9-Oct-17,29-Jul-17, 192 , 120 ,10.75%,"20,524.07", (72)," (12,314.44)"," 5,93,034.35 "
71,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125363,28 Feb 17," 5,77,655 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,77,655 ", -   ,11-Oct-17,29-Jul-17, 194 , 120 ,10.75%,"20,415.75", (74)," (12,589.71)"," 5,90,244.61 "
72,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125364,17 Mar 17," 4,45,278 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,45,278 ", -   ,11-Oct-17,29-Jul-17, 194 , 120 ,10.75%,"15,737.21", (74)," (9,704.61)"," 4,54,982.31 "
73,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125365,17 Mar 17," 4,45,278 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,45,278 ", -   ,11-Oct-17,29-Jul-17, 194 , 120 ,10.75%,"15,737.21", (74)," (9,704.61)"," 4,54,982.31 "
74,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125366,17 Mar 17," 4,45,278 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,45,278 ", -   ,11-Oct-17,29-Jul-17, 194 , 120 ,10.75%,"15,737.21", (74)," (9,704.61)"," 4,54,982.31 "
75,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125367,17 Mar 17," 5,02,481 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,02,481 ", -   ,11-Oct-17,29-Jul-17, 194 , 120 ,10.75%,"17,758.93", (74)," (10,951.34)"," 5,13,432.73 "
76,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125368,17 Mar 17," 5,02,481 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,02,481 ", -   ,11-Oct-17,29-Jul-17, 194 , 120 ,10.75%,"17,758.93", (74)," (10,951.34)"," 5,13,432.73 "
77,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125369,17 Mar 17," 5,02,481 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,02,481 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"17,758.93", (76)," (11,247.32)"," 5,13,728.71 "
78,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125370,17 Mar 17," 5,02,481 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,02,481 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"17,758.93", (76)," (11,247.32)"," 5,13,728.71 "
79,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125371,17 Mar 17," 5,02,481 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,02,481 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"17,758.93", (76)," (11,247.32)"," 5,13,728.71 "
80,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125372,17 Mar 17," 5,02,481 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,02,481 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"17,758.93", (76)," (11,247.32)"," 5,13,728.71 "
81,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125373,17 Mar 17," 5,02,481 ",31-Mar-17,Rohit Verma,NORTH,Rec," 5,02,481 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"17,758.93", (76)," (11,247.32)"," 5,13,728.71 "
82,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125374,17 Mar 17," 4,99,417 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,99,417 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"17,650.65", (76)," (11,178.74)"," 5,10,596.23 "
83,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125375,17 Mar 17," 4,99,417 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,99,417 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"17,650.65", (76)," (11,178.74)"," 5,10,596.23 "
84,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125376,17 Mar 17," 4,99,417 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,99,417 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"17,650.65", (76)," (11,178.74)"," 5,10,596.23 "
85,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125377,17 Mar 17," 4,99,417 ",31-Mar-17,Rohit Verma,NORTH,Rec," 4,99,417 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"17,650.65", (76)," (11,178.74)"," 5,10,596.23 "
86,F1E9925,HI TECH SATLUJ MOTORS PVT  LTD,PVBU13,797125378,17 Mar 17," 6,39,780 ",31-Mar-17,Rohit Verma,NORTH,Rec," 6,39,780 ", -   ,13-Oct-17,29-Jul-17, 196 , 120 ,10.75%,"22,611.40", (76)," (14,320.55)"," 6,54,100.45 "
